Time[s], 通道 0, 通道 1, 通道 2
0.0000000, 0, 1, 1
0.0000011, 0, 0, 1
0.0000024, 0, 1, 1
0.0000025, 0, 1, 0
0.0000038, 0, 0, 0
0.0000051, 0, 1, 1
0.0000064, 0, 0, 1
0.0000077, 0, 1, 0
0.0000090, 0, 0, 0
0.0000103, 0, 1, 1
0.0000116, 0, 0, 1
0.0000129, 0, 1, 1
0.0000130, 0, 1, 0
0.0000143, 0, 0, 0
0.0000156, 0, 1, 1
0.0000169, 0, 0, 1
0.0000182, 0, 1, 0
0.0000195, 0, 0, 0
0.0000208, 0, 1, 1
0.0000221, 0, 0, 1
0.0000235, 0, 1, 0
0.0000248, 0, 0, 0
0.0000261, 0, 1, 1
0.0000274, 0, 0, 1
0.0000287, 0, 1, 0
0.0000300, 0, 0, 0
0.0000313, 0, 1, 0
0.0000314, 0, 1, 1
0.0000326, 0, 0, 1
0.0000340, 0, 1, 0
0.0000353, 0, 0, 0
0.0000366, 0, 1, 1
0.0000379, 0, 0, 1
0.0000392, 0, 1, 0
0.0000405, 0, 0, 0
0.0000418, 0, 1, 0
0.0000419, 1, 1, 1
0.0000432, 1, 0, 1
0.0000445, 1, 1, 0
0.0000458, 1, 0, 0
0.0000471, 1, 1, 1
0.0000484, 1, 0, 1
0.0000497, 1, 1, 0
0.0000510, 1, 0, 0
0.0000523, 1, 1, 0
0.0000524, 1, 1, 1
0.0000537, 1, 0, 1
0.0000550, 1, 1, 0
0.0000563, 1, 0, 0
0.0000576, 1, 1, 1
0.0000589, 1, 0, 1
0.0000602, 1, 1, 1
0.0000603, 1, 1, 0
0.0000615, 1, 0, 0
0.0000629, 1, 1, 1
0.0000642, 1, 0, 1
0.0000655, 1, 1, 0
0.0000668, 1, 0, 0
0.0000681, 1, 1, 1
0.0000694, 1, 0, 1
0.0000707, 1, 1, 1
0.0000708, 1, 1, 0
0.0000721, 1, 0, 0
0.0000734, 1, 1, 1
0.0000747, 1, 0, 1
0.0000760, 1, 1, 0
0.0000773, 1, 0, 0
0.0000786, 1, 1, 1
0.0000799, 1, 0, 1
0.0000813, 1, 1, 0
0.0000826, 1, 0, 0
0.0000839, 0, 1, 1
0.0000852, 0, 0, 1
0.0000865, 0, 1, 0
0.0000878, 0, 0, 0
0.0000891, 0, 1, 0
0.0000892, 0, 1, 1
0.0000904, 0, 0, 1
0.0000918, 0, 1, 0
0.0000931, 0, 0, 0
0.0000944, 0, 1, 1
0.0000957, 0, 0, 1
0.0000970, 0, 1, 0
0.0000983, 0, 0, 0
0.0000996, 0, 1, 0
0.0000997, 0, 1, 1
0.0001010, 0, 0, 1
0.0001023, 0, 1, 0
0.0001036, 0, 0, 0
0.0001049, 0, 1, 1
0.0001062, 0, 0, 1
0.0001075, 0, 1, 0
0.0001088, 0, 0, 0
0.0001101, 0, 1, 0
0.0001102, 0, 1, 1
0.0001115, 0, 0, 1
0.0001128, 0, 1, 0
0.0001141, 0, 0, 0
0.0001154, 0, 1, 1
0.0001167, 0, 0, 1
0.0001180, 0, 1, 1
0.0001181, 0, 1, 0
0.0001193, 0, 0, 0
0.0001207, 0, 1, 1
0.0001220, 0, 0, 1
0.0001233, 0, 1, 0
0.0001246, 0, 0, 0
0.0001259, 1, 1, 1
0.0001272, 1, 0, 1
0.0001285, 1, 1, 1
0.0001286, 1, 1, 0
0.0001299, 1, 0, 0
0.0001312, 1, 1, 1
0.0001325, 1, 0, 1
0.0001338, 1, 1, 0
0.0001351, 1, 0, 0
0.0001364, 1, 1, 1
0.0001377, 1, 0, 1
0.0001390, 1, 1, 1
0.0001391, 1, 1, 0
0.0001404, 1, 0, 0
0.0001417, 1, 1, 1
0.0001430, 1, 0, 1
0.0001443, 1, 1, 0
0.0001456, 1, 0, 0
0.0001469, 1, 1, 0
0.0001470, 1, 1, 1
0.0001482, 1, 0, 1
0.0001496, 1, 1, 0
0.0001509, 1, 0, 0
0.0001522, 1, 1, 1
0.0001535, 1, 0, 1
0.0001548, 1, 1, 0
0.0001561, 1, 0, 0
0.0001574, 1, 1, 0
0.0001575, 1, 1, 1
0.0001588, 1, 0, 1
0.0001601, 1, 1, 0
0.0001614, 1, 0, 0
0.0001627, 1, 1, 1
0.0001640, 1, 0, 1
0.0001653, 1, 1, 0
0.0001666, 1, 0, 0
0.0001680, 0, 1, 1
0.0001693, 0, 0, 1
0.0001706, 0, 1, 0
0.0001719, 0, 0, 0
0.0001732, 0, 1, 1
0.0001745, 0, 0, 1
0.0001758, 0, 1, 1
0.0001759, 0, 1, 0
0.0001771, 0, 0, 0
0.0001785, 0, 1, 1
0.0001798, 0, 0, 1
0.0001811, 0, 1, 0
0.0001824, 0, 0, 0
0.0001837, 0, 1, 1
0.0001850, 0, 0, 1
0.0001863, 0, 1, 1
0.0001864, 0, 1, 0
0.0001877, 0, 0, 0
0.0001890, 0, 1, 1
0.0001903, 0, 0, 1
0.0001916, 0, 1, 0
0.0001929, 0, 0, 0
0.0001942, 0, 1, 1
0.0001955, 0, 0, 1
0.0001969, 0, 1, 0
0.0001982, 0, 0, 0
0.0001995, 0, 1, 1
0.0002008, 0, 0, 1
0.0002021, 0, 1, 0
0.0002034, 0, 0, 0
0.0002047, 0, 1, 0
0.0002048, 0, 1, 1
0.0002060, 0, 0, 1
0.0002074, 0, 1, 0
0.0002087, 0, 0, 0
0.0002100, 1, 1, 1
0.0002113, 1, 0, 1
0.0002126, 1, 1, 0
0.0002139, 1, 0, 0
0.0002152, 1, 1, 0
0.0002153, 1, 1, 1
0.0002166, 1, 0, 1
0.0002179, 1, 1, 0
0.0002192, 1, 0, 0
0.0002205, 1, 1, 1
0.0002218, 1, 0, 1
0.0002231, 1, 1, 0
0.0002244, 1, 0, 0
0.0002258, 1, 1, 1
0.0002271, 1, 0, 1
0.0002284, 1, 1, 0
0.0002297, 1, 0, 0
0.0002310, 1, 1, 1
0.0002323, 1, 0, 1
0.0002336, 1, 1, 1
0.0002337, 1, 1, 0
0.0002349, 1, 0, 0
0.0002363, 1, 1, 1
0.0002376, 1, 0, 1
0.0002389, 1, 1, 0
0.0002402, 1, 0, 0
0.0002415, 1, 1, 1
0.0002428, 1, 0, 1
0.0002441, 1, 1, 1
0.0002442, 1, 1, 0
0.0002455, 1, 0, 0
0.0002468, 1, 1, 1
0.0002481, 1, 0, 1
0.0002494, 1, 1, 0
0.0002507, 1, 0, 0
0.0002520, 1, 1, 1
0.0002521, 0, 1, 1
0.0002533, 0, 0, 1
0.0002546, 0, 1, 1
0.0002547, 0, 1, 0
0.0002560, 0, 0, 0
0.0002573, 0, 1, 1
0.0002586, 0, 0, 1
0.0002599, 0, 1, 0
0.0002612, 0, 0, 0
0.0002625, 0, 1, 0
0.0002626, 0, 1, 1
0.0002638, 0, 0, 1
0.0002652, 0, 1, 0
0.0002665, 0, 0, 0
0.0002678, 0, 1, 1
0.0002691, 0, 0, 1
0.0002704, 0, 1, 0
0.0002717, 0, 0, 0
0.0002730, 0, 1, 0
0.0002731, 0, 1, 1
0.0002744, 0, 0, 1
0.0002757, 0, 1, 0
0.0002770, 0, 0, 0
0.0002783, 0, 1, 1
0.0002796, 0, 0, 1
0.0002809, 0, 1, 0
0.0002822, 0, 0, 0
0.0002835, 0, 1, 0
0.0002836, 0, 1, 1
0.0002849, 0, 0, 1
0.0002862, 0, 1, 0
0.0002875, 0, 0, 0
0.0002888, 0, 1, 1
0.0002901, 0, 0, 1
0.0002914, 0, 1, 1
0.0002915, 0, 1, 0
0.0002927, 0, 0, 0
0.0002941, 1, 1, 1
0.0002954, 1, 0, 1
0.0002967, 1, 1, 0
0.0002980, 1, 0, 0
0.0002993, 1, 1, 0
0.0003006, 1, 0, 0
0.0003019, 1, 1, 0
0.0003033, 1, 0, 0
0.0003046, 1, 1, 0
0.0003059, 1, 0, 0
0.0003072, 1, 1, 0
0.0003085, 1, 0, 0
0.0003098, 1, 1, 0
0.0003111, 1, 0, 0
0.0003125, 1, 1, 0
0.0003138, 1, 0, 0
0.0003151, 1, 1, 0
0.0003164, 1, 0, 0
0.0003177, 1, 1, 0
0.0003190, 1, 0, 0
0.0003203, 1, 1, 0
0.0003216, 1, 0, 0
0.0003230, 1, 1, 0
0.0003243, 1, 0, 0
0.0003256, 1, 1, 0
0.0003269, 1, 0, 0
0.0003282, 1, 1, 0
0.0003295, 1, 0, 0
0.0003308, 1, 1, 0
0.0003322, 1, 0, 0
0.0003335, 1, 1, 0
0.0003348, 1, 0, 0
0.0003361, 0, 1, 0
0.0003374, 0, 0, 0
0.0003387, 0, 1, 0
0.0003400, 0, 0, 0
0.0003414, 0, 1, 0
0.0003427, 0, 0, 0
0.0003440, 0, 1, 0
0.0003453, 0, 0, 0
0.0003466, 0, 1, 0
0.0003479, 0, 0, 0
0.0003492, 0, 1, 0
0.0003505, 0, 0, 0
0.0003519, 0, 1, 0
0.0003532, 0, 0, 0
0.0003545, 0, 1, 0
0.0003558, 0, 0, 0
0.0003571, 0, 1, 0
0.0003584, 0, 0, 0
0.0003597, 0, 1, 0
0.0003611, 0, 0, 0
0.0003624, 0, 1, 0
0.0003637, 0, 0, 0
0.0003650, 0, 1, 0
0.0003663, 0, 0, 0
0.0003676, 0, 1, 0
0.0003689, 0, 0, 0
0.0003703, 0, 1, 0
0.0003716, 0, 0, 0
0.0003729, 0, 1, 0
0.0003742, 0, 0, 0
0.0003755, 0, 1, 0
0.0003768, 0, 0, 0
0.0003781, 0, 1, 0
0.0003782, 1, 1, 0
0.0003794, 1, 0, 0
0.0003808, 1, 1, 0
0.0003821, 1, 0, 0
0.0003834, 1, 1, 0
0.0003847, 1, 0, 0
0.0003860, 1, 1, 0
0.0003873, 1, 0, 0
0.0003886, 1, 1, 0
0.0003900, 1, 0, 0
0.0003913, 1, 1, 0
0.0003926, 1, 0, 0
0.0003939, 1, 1, 0
0.0003952, 1, 0, 0
0.0003965, 1, 1, 0
0.0003978, 1, 0, 0
0.0003992, 1, 1, 0
0.0004005, 1, 0, 0
0.0004018, 1, 1, 0
0.0004031, 1, 0, 0
0.0004044, 1, 1, 0
0.0004057, 1, 0, 0
0.0004070, 1, 1, 0
0.0004084, 1, 0, 0
0.0004097, 1, 1, 0
0.0004110, 1, 0, 0
0.0004123, 1, 1, 0
0.0004136, 1, 0, 0
0.0004149, 1, 1, 0
0.0004162, 1, 0, 0
0.0004175, 1, 1, 0
0.0004189, 1, 0, 0
0.0004202, 0, 1, 0
0.0004215, 0, 0, 0
0.0004228, 0, 1, 0
0.0004241, 0, 0, 0
0.0004254, 0, 1, 0
0.0004267, 0, 0, 0
0.0004281, 0, 1, 0
0.0004294, 0, 0, 0
0.0004307, 0, 1, 0
0.0004320, 0, 0, 0
0.0004333, 0, 1, 0
0.0004346, 0, 0, 0
0.0004359, 0, 1, 0
0.0004372, 0, 0, 0
0.0004386, 0, 1, 0
0.0004399, 0, 0, 0
0.0004412, 0, 1, 0
0.0004425, 0, 0, 0
0.0004438, 0, 1, 0
0.0004451, 0, 0, 0
0.0004464, 0, 1, 0
0.0004478, 0, 0, 0
0.0004491, 0, 1, 0
0.0004504, 0, 0, 0
0.0004517, 0, 1, 0
0.0004530, 0, 0, 0
0.0004543, 0, 1, 0
0.0004556, 0, 0, 0
0.0004570, 0, 1, 0
0.0004583, 0, 0, 0
0.0004596, 0, 1, 0
0.0004609, 0, 0, 0
0.0004622, 1, 1, 0
0.0004635, 1, 0, 0
0.0004648, 1, 1, 0
