Time[s], 通道 0, 通道 1
1.0000000, 1, 1
1.0729133, 0, 1
1.0729141, 0, 0
1.0729157, 0, 1
1.0729167, 0, 0
1.0729184, 0, 1
1.0729193, 0, 0
1.0729210, 0, 1
1.0729220, 0, 0
1.0729236, 0, 1
1.0729246, 0, 0
1.0729262, 0, 1
1.0729272, 0, 0
1.0729274, 1, 0
1.0729289, 1, 1
1.0729298, 1, 0
1.0729300, 0, 0
1.0729315, 0, 1
1.0729325, 0, 0
1.0729341, 0, 1
1.0729351, 0, 0
1.0729425, 0, 1
1.0729435, 0, 0
1.0729436, 1, 0
1.0729443, 0, 0
1.0729499, 1, 0
1.0729507, 1, 1
1.0729517, 1, 0
1.0729519, 0, 0
1.0729534, 0, 1
1.0729543, 0, 0
1.0729545, 1, 0
1.0729560, 1, 1
1.0729570, 1, 0
1.0729572, 0, 0
1.0729586, 0, 1
1.0729596, 0, 0
1.0729612, 0, 1
1.0729622, 0, 0
1.0729639, 0, 1
1.0729648, 0, 0
1.0729650, 1, 0
1.0729665, 1, 1
1.0729675, 1, 0
1.0729677, 0, 0
1.0729691, 0, 1
1.0729701, 0, 0
1.0729703, 1, 0
1.0729786, 0, 0
1.0729788, 0, 1
1.0729797, 0, 0
1.0729798, 1, 0
1.0729805, 0, 0
1.0729870, 0, 1
1.0729880, 0, 0
1.0729896, 0, 1
1.0729906, 0, 0
1.0729922, 0, 1
1.0729932, 0, 0
1.0729949, 0, 1
1.0729958, 0, 0
1.0729975, 0, 1
1.0729985, 0, 0
1.0730001, 0, 1
1.0730011, 0, 0
1.0730027, 0, 1
1.0730037, 0, 0
1.0730054, 0, 1
1.0730063, 0, 0
1.0730150, 0, 1
1.0730160, 0, 0
1.0730161, 1, 0
1.0730168, 0, 0
1.0730232, 0, 1
1.0730242, 0, 0
1.0730259, 0, 1
1.0730268, 0, 0
1.0730285, 0, 1
1.0730295, 0, 0
1.0730297, 1, 0
1.0730311, 1, 1
1.0730321, 1, 0
1.0730323, 0, 0
1.0730337, 0, 1
1.0730347, 0, 0
1.0730349, 1, 0
1.0730364, 1, 1
1.0730373, 1, 0
1.0730390, 1, 1
1.0730400, 1, 0
1.0730402, 0, 0
1.0730416, 0, 1
1.0730426, 0, 0
1.0730513, 0, 1
1.0730522, 0, 0
1.0730523, 1, 0
1.0730530, 0, 0
1.0730595, 0, 1
1.0730605, 0, 0
1.0730621, 0, 1
1.0730631, 0, 0
1.0730647, 0, 1
1.0730657, 0, 0
1.0730674, 0, 1
1.0730683, 0, 0
1.0730700, 0, 1
1.0730710, 0, 0
1.0730712, 1, 0
1.0730726, 1, 1
1.0730736, 1, 0
1.0730738, 0, 0
1.0730752, 0, 1
1.0730762, 0, 0
1.0730779, 0, 1
1.0730788, 0, 0
1.0730876, 0, 1
1.0730885, 0, 0
1.0730886, 1, 0
1.0730893, 0, 0
1.0730955, 0, 1
1.0730965, 1, 1
1.1539351, 0, 1
1.1539359, 0, 0
1.1539376, 0, 1
1.1539386, 0, 0
1.1539402, 0, 1
1.1539412, 0, 0
1.1539428, 0, 1
1.1539438, 0, 0
1.1539455, 0, 1
1.1539464, 0, 0
1.1539481, 0, 1
1.1539491, 0, 0
1.1539493, 1, 0
1.1539507, 1, 1
1.1539517, 1, 0
1.1539519, 0, 0
1.1539533, 0, 1
1.1539543, 0, 0
1.1539545, 1, 0
1.1539560, 1, 1
1.1539569, 1, 0
1.1539570, 0, 0
1.1539721, 0, 1
1.1539731, 0, 0
1.1539798, 0, 1
1.1539808, 0, 0
1.1539809, 1, 0
1.1539824, 1, 1
1.1539834, 1, 0
1.1539835, 0, 0
1.1539850, 0, 1
1.1539860, 0, 0
1.1539876, 0, 1
1.1539886, 0, 0
1.1539903, 0, 1
1.1539913, 0, 0
1.1539929, 0, 1
1.1539939, 0, 0
1.1539940, 1, 0
1.1539955, 1, 1
1.1539965, 1, 0
1.1539981, 1, 1
1.1539991, 1, 0
1.1539999, 0, 0
1.1540088, 0, 1
1.1540098, 0, 0
1.1540114, 0, 1
1.1540124, 0, 0
1.1540140, 0, 1
1.1540150, 0, 0
1.1540166, 0, 1
1.1540176, 0, 0
1.1540193, 0, 1
1.1540203, 0, 0
1.1540219, 0, 1
1.1540229, 0, 0
1.1540245, 0, 1
1.1540255, 0, 0
1.1540256, 1, 0
1.1540271, 1, 1
1.1540281, 1, 0
1.1540298, 1, 1
1.1540308, 1, 0
1.1540316, 0, 0
1.1540411, 0, 1
1.1540421, 0, 0
1.1540507, 0, 1
1.1540517, 0, 0
1.1540533, 0, 1
1.1540543, 0, 0
1.1540560, 0, 1
1.1540569, 0, 0
1.1540586, 0, 1
1.1540596, 0, 0
1.1540612, 0, 1
1.1540622, 0, 0
1.1540638, 0, 1
1.1540648, 0, 0
1.1540665, 0, 1
1.1540674, 0, 0
1.1540691, 0, 1
1.1540701, 0, 0
1.1540702, 1, 0
1.1540709, 0, 0
1.1540820, 0, 1
1.1540829, 0, 0
1.1540916, 0, 1
1.1540925, 0, 0
1.1540941, 0, 1
1.1540951, 0, 0
1.1540968, 0, 1
1.1540978, 0, 0
1.1540994, 0, 1
1.1541004, 0, 0
1.1541020, 0, 1
1.1541030, 0, 0
1.1541046, 0, 1
1.1541056, 0, 0
1.1541073, 0, 1
1.1541083, 0, 0
1.1541099, 0, 1
1.1541109, 0, 0
1.1541110, 1, 0
1.1541117, 0, 0
1.1541230, 0, 1
1.1541239, 0, 0
1.1541326, 0, 1
1.1541336, 0, 0
1.1541352, 0, 1
1.1541362, 0, 0
1.1541378, 0, 1
1.1541388, 0, 0
1.1541389, 1, 0
1.1541405, 1, 1
1.1541414, 1, 0
1.1541415, 0, 0
1.1541431, 0, 1
1.1541441, 0, 0
1.1541442, 1, 0
1.1541457, 1, 1
1.1541467, 1, 0
1.1541483, 1, 1
1.1541493, 1, 0
1.1541494, 0, 0
1.1541510, 0, 1
1.1541519, 0, 0
1.1541521, 1, 0
1.1541528, 0, 0
1.1541640, 0, 1
1.1541650, 0, 0
1.1541737, 0, 1
1.1541746, 0, 0
1.1541763, 0, 1
1.1541773, 0, 0
1.1541789, 0, 1
1.1541799, 0, 0
1.1541815, 0, 1
1.1541825, 0, 0
1.1541841, 0, 1
1.1541851, 0, 0
1.1541852, 1, 0
1.1541868, 1, 1
1.1541878, 0, 0
1.1541894, 0, 1
1.1541904, 0, 0
1.1541920, 0, 1
1.1541930, 0, 0
1.1541931, 1, 0
1.1541938, 0, 0
1.1542037, 1, 0
1.1542045, 1, 1
1.1542054, 1, 0
1.1542056, 0, 0
1.1542071, 0, 1
1.1542081, 1, 1
1.1547529, 0, 1
1.1547537, 0, 0
1.1547553, 0, 1
1.1547563, 0, 0
1.1547580, 0, 1
1.1547590, 0, 0
1.1547606, 0, 1
1.1547616, 0, 0
1.1547632, 0, 1
1.1547642, 0, 0
1.1547658, 0, 1
1.1547668, 0, 0
1.1547670, 1, 0
1.1547685, 1, 1
1.1547695, 1, 0
1.1547696, 0, 0
1.1547711, 0, 1
1.1547721, 0, 0
1.1547737, 0, 1
1.1547747, 0, 0
1.1547821, 0, 1
1.1547831, 0, 0
1.1547832, 1, 0
1.1547839, 0, 0
1.1547895, 1, 0
1.1547903, 1, 1
1.1547913, 1, 0
1.1547915, 0, 0
1.1547930, 0, 1
1.1547940, 0, 0
1.1547956, 0, 1
1.1547966, 0, 0
1.1547982, 0, 1
1.1547992, 0, 0
1.1548008, 0, 1
1.1548018, 0, 0
1.1548035, 0, 1
1.1548045, 0, 0
1.1548047, 1, 0
1.1548061, 1, 1
1.1548071, 1, 0
1.1548073, 0, 0
1.1548087, 0, 1
1.1548097, 0, 0
1.1548099, 1, 0
1.1548182, 0, 0
1.1548184, 0, 1
1.1548193, 0, 0
1.1548195, 1, 0
1.1548201, 0, 0
1.1548263, 0, 1
1.1548273, 1, 1
