Time[s], 通道 0, 通道 1, 通道 2
0.0000000, 1, 0, 0
0.0000010, 1, 1, 0
0.0000023, 1, 0, 0
0.0000036, 0, 1, 0
0.0000049, 0, 0, 0
0.0000062, 0, 1, 0
0.0000075, 0, 0, 0
0.0000088, 0, 1, 0
0.0000102, 0, 0, 0
0.0000115, 0, 1, 0
0.0000128, 0, 0, 0
0.0000141, 0, 1, 0
0.0000154, 0, 0, 0
0.0000167, 0, 1, 0
0.0000180, 0, 0, 0
0.0000194, 0, 1, 0
0.0000207, 0, 0, 0
0.0000220, 0, 1, 0
0.0000233, 0, 0, 0
0.0000246, 0, 1, 0
0.0000259, 0, 0, 0
0.0000272, 0, 1, 0
0.0000286, 0, 0, 0
0.0000299, 0, 1, 0
0.0000312, 0, 0, 0
0.0000325, 0, 1, 0
0.0000338, 0, 0, 0
0.0000351, 0, 1, 0
0.0000364, 0, 0, 0
0.0000377, 0, 1, 0
0.0000391, 0, 0, 0
0.0000404, 0, 1, 0
0.0000417, 0, 0, 0
0.0000430, 0, 1, 0
0.0000443, 0, 0, 0
0.0000456, 0, 1, 0
0.0000457, 1, 1, 0
0.0000469, 1, 0, 0
0.0000483, 1, 1, 0
0.0000496, 1, 0, 0
0.0000509, 1, 1, 0
0.0000522, 1, 0, 0
0.0000535, 1, 1, 0
0.0000548, 1, 0, 0
0.0000561, 1, 1, 0
0.0000575, 1, 0, 0
0.0000588, 1, 1, 1
0.0000601, 1, 0, 1
0.0000614, 1, 1, 0
0.0000627, 1, 0, 0
0.0000640, 1, 1, 1
0.0000653, 1, 0, 1
0.0000666, 1, 1, 1
0.0000680, 1, 0, 1
0.0000693, 1, 1, 1
0.0000706, 1, 0, 1
0.0000719, 1, 1, 0
0.0000732, 1, 0, 0
0.0000745, 1, 1, 0
0.0000746, 1, 1, 1
0.0000758, 1, 0, 1
0.0000772, 1, 1, 1
0.0000785, 1, 0, 1
0.0000798, 1, 1, 1
0.0000811, 1, 0, 1
0.0000824, 1, 1, 0
0.0000837, 1, 0, 0
0.0000850, 1, 1, 0
0.0000864, 1, 0, 0
0.0000877, 0, 1, 0
0.0000890, 0, 0, 0
0.0000903, 0, 1, 0
0.0000916, 0, 0, 0
0.0000929, 0, 1, 0
0.0000942, 0, 0, 0
0.0000956, 0, 1, 0
0.0000969, 0, 0, 0
0.0000982, 0, 1, 1
0.0000995, 0, 0, 1
0.0001008, 0, 1, 0
0.0001021, 0, 0, 0
0.0001034, 0, 1, 0
0.0001035, 0, 1, 1
0.0001047, 0, 0, 1
0.0001061, 0, 1, 0
0.0001074, 0, 0, 0
0.0001087, 0, 1, 0
0.0001100, 0, 0, 0
0.0001113, 0, 1, 0
0.0001126, 0, 0, 0
0.0001139, 0, 1, 0
0.0001140, 0, 1, 1
0.0001153, 0, 0, 1
0.0001166, 0, 1, 0
0.0001179, 0, 0, 0
0.0001192, 0, 1, 0
0.0001205, 0, 0, 0
0.0001218, 0, 1, 1
0.0001231, 0, 0, 1
0.0001245, 0, 1, 1
0.0001258, 0, 0, 1
0.0001271, 0, 1, 0
0.0001284, 0, 0, 0
0.0001297, 1, 1, 0
0.0001310, 1, 0, 0
0.0001323, 1, 1, 0
0.0001336, 1, 0, 0
0.0001350, 1, 1, 0
0.0001363, 1, 0, 0
0.0001376, 1, 1, 0
0.0001389, 1, 0, 0
0.0001402, 1, 1, 1
0.0001415, 1, 0, 1
0.0001428, 1, 1, 1
0.0001429, 1, 1, 0
0.0001442, 1, 0, 0
0.0001455, 1, 1, 1
0.0001468, 1, 0, 1
0.0001481, 1, 1, 1
0.0001494, 1, 0, 1
0.0001507, 1, 1, 1
0.0001520, 1, 0, 1
0.0001534, 1, 1, 0
0.0001547, 1, 0, 0
0.0001560, 1, 1, 1
0.0001573, 1, 0, 1
0.0001586, 1, 1, 1
0.0001599, 1, 0, 1
0.0001612, 1, 1, 1
0.0001626, 1, 0, 1
0.0001639, 1, 1, 0
0.0001652, 1, 0, 0
0.0001665, 1, 1, 0
0.0001678, 1, 0, 0
0.0001691, 1, 1, 0
0.0001704, 1, 0, 0
0.0001717, 1, 1, 0
0.0001718, 0, 1, 0
0.0001731, 0, 0, 0
0.0001744, 0, 1, 0
0.0001757, 0, 0, 0
0.0001770, 0, 1, 0
0.0001783, 0, 0, 0
0.0001796, 0, 1, 0
0.0001809, 0, 0, 0
0.0001823, 0, 1, 1
0.0001836, 0, 0, 1
0.0001849, 0, 1, 0
0.0001862, 0, 0, 0
0.0001875, 0, 1, 1
0.0001888, 0, 0, 1
0.0001901, 0, 1, 1
0.0001902, 0, 1, 0
0.0001915, 0, 0, 0
0.0001928, 0, 1, 0
0.0001941, 0, 0, 0
0.0001954, 0, 1, 0
0.0001967, 0, 0, 0
0.0001980, 0, 1, 1
0.0001993, 0, 0, 1
0.0002006, 0, 1, 1
0.0002007, 0, 1, 0
0.0002020, 0, 0, 0
0.0002033, 0, 1, 0
0.0002046, 0, 0, 0
0.0002059, 0, 1, 1
0.0002072, 0, 0, 1
0.0002085, 0, 1, 1
0.0002098, 0, 0, 1
0.0002112, 0, 1, 0
0.0002125, 0, 0, 0
0.0002138, 1, 1, 0
0.0002151, 1, 0, 0
0.0002164, 1, 1, 0
0.0002177, 1, 0, 0
0.0002190, 1, 1, 0
0.0002204, 1, 0, 0
0.0002217, 1, 1, 0
0.0002230, 1, 0, 0
0.0002243, 1, 1, 0
0.0002256, 1, 0, 0
0.0002269, 1, 1, 1
0.0002282, 1, 0, 1
0.0002295, 1, 1, 1
0.0002296, 1, 1, 0
0.0002309, 1, 0, 0
0.0002322, 1, 1, 1
0.0002335, 1, 0, 1
0.0002348, 1, 1, 1
0.0002361, 1, 0, 1
0.0002374, 1, 1, 1
0.0002387, 1, 0, 1
0.0002401, 1, 1, 0
0.0002414, 1, 0, 0
0.0002427, 1, 1, 1
0.0002440, 1, 0, 1
0.0002453, 1, 1, 1
0.0002466, 1, 0, 1
0.0002479, 1, 1, 1
0.0002493, 1, 0, 1
0.0002506, 1, 1, 0
0.0002519, 1, 0, 0
0.0002532, 1, 1, 0
0.0002545, 1, 0, 0
0.0002558, 0, 1, 0
0.0002571, 0, 0, 0
0.0002584, 0, 1, 0
0.0002598, 0, 0, 0
0.0002611, 0, 1, 0
0.0002624, 0, 0, 0
0.0002637, 0, 1, 0
0.0002650, 0, 0, 0
0.0002663, 0, 1, 0
0.0002676, 0, 0, 0
0.0002690, 0, 1, 0
0.0002703, 0, 0, 0
0.0002716, 0, 1, 0
0.0002729, 0, 0, 0
0.0002742, 0, 1, 0
0.0002755, 0, 0, 0
0.0002768, 0, 1, 0
0.0002782, 0, 0, 0
0.0002795, 0, 1, 0
0.0002808, 0, 0, 0
0.0002821, 0, 1, 0
0.0002834, 0, 0, 0
0.0002847, 0, 1, 0
0.0002860, 0, 0, 0
0.0002874, 0, 1, 0
0.0002887, 0, 0, 0
0.0002900, 0, 1, 0
0.0002913, 0, 0, 0
0.0002926, 0, 1, 0
0.0002939, 0, 0, 0
0.0002952, 0, 1, 0
0.0002965, 0, 0, 0
0.0002979, 1, 1, 0
0.0002992, 1, 0, 0
0.0003005, 1, 1, 1
0.0003018, 1, 0, 1
0.0003031, 1, 1, 1
0.0003044, 1, 0, 1
0.0003057, 1, 1, 1
0.0003071, 1, 0, 1
0.0003084, 1, 1, 1
0.0003097, 1, 0, 1
0.0003110, 1, 1, 0
0.0003123, 1, 0, 0
0.0003136, 1, 1, 1
0.0003149, 1, 0, 1
0.0003163, 1, 1, 0
0.0003176, 1, 0, 0
0.0003189, 1, 1, 0
0.0003202, 1, 0, 0
0.0003215, 1, 1, 0
0.0003228, 1, 0, 0
0.0003241, 1, 1, 0
0.0003242, 1, 1, 1
0.0003254, 1, 0, 1
0.0003268, 1, 1, 0
0.0003281, 1, 0, 0
0.0003294, 1, 1, 0
0.0003307, 1, 0, 0
0.0003320, 1, 1, 1
0.0003333, 1, 0, 1
0.0003346, 1, 1, 1
0.0003347, 1, 1, 0
0.0003360, 1, 0, 0
0.0003373, 1, 1, 0
0.0003386, 1, 0, 0
0.0003399, 0, 1, 0
0.0003412, 0, 0, 0
0.0003425, 0, 1, 1
0.0003438, 0, 0, 1
0.0003451, 0, 1, 1
0.0003465, 0, 0, 1
0.0003478, 0, 1, 1
0.0003491, 0, 0, 1
0.0003504, 0, 1, 0
0.0003517, 0, 0, 0
0.0003530, 0, 1, 0
0.0003531, 0, 1, 1
0.0003543, 0, 0, 1
0.0003557, 0, 1, 0
0.0003570, 0, 0, 0
0.0003583, 0, 1, 1
0.0003596, 0, 0, 1
0.0003609, 0, 1, 1
0.0003622, 0, 0, 1
0.0003635, 0, 1, 1
0.0003649, 0, 0, 1
0.0003662, 0, 1, 0
0.0003675, 0, 0, 0
0.0003688, 0, 1, 1
0.0003701, 0, 0, 1
0.0003714, 0, 1, 1
0.0003727, 0, 0, 1
0.0003740, 0, 1, 1
0.0003741, 0, 1, 0
0.0003754, 0, 0, 0
0.0003767, 0, 1, 1
0.0003780, 0, 0, 1
0.0003793, 0, 1, 0
0.0003806, 0, 0, 0
0.0003819, 0, 1, 0
0.0003820, 1, 1, 0
0.0003832, 1, 0, 0
0.0003846, 1, 1, 1
0.0003859, 1, 0, 1
0.0003872, 1, 1, 1
0.0003885, 1, 0, 1
0.0003898, 1, 1, 1
0.0003911, 1, 0, 1
0.0003924, 1, 1, 1
0.0003925, 1, 1, 0
0.0003937, 1, 0, 0
0.0003951, 1, 1, 1
0.0003964, 1, 0, 1
0.0003977, 1, 1, 0
0.0003990, 1, 0, 0
0.0004003, 1, 1, 0
0.0004016, 1, 0, 0
0.0004029, 1, 1, 0
0.0004043, 1, 0, 0
0.0004056, 1, 1, 1
0.0004069, 1, 0, 1
0.0004082, 1, 1, 0
0.0004095, 1, 0, 0
0.0004108, 1, 1, 0
0.0004121, 1, 0, 0
0.0004135, 1, 1, 1
0.0004148, 1, 0, 1
0.0004161, 1, 1, 0
0.0004174, 1, 0, 0
0.0004187, 1, 1, 0
0.0004200, 1, 0, 0
0.0004213, 1, 1, 0
0.0004226, 1, 0, 0
0.0004240, 0, 1, 0
0.0004253, 0, 0, 0
0.0004266, 0, 1, 1
0.0004279, 0, 0, 1
0.0004292, 0, 1, 1
0.0004305, 0, 0, 1
0.0004318, 0, 1, 1
0.0004332, 0, 0, 1
0.0004345, 0, 1, 0
0.0004358, 0, 0, 0
0.0004371, 0, 1, 1
0.0004384, 0, 0, 1
0.0004397, 0, 1, 0
0.0004410, 0, 0, 0
0.0004424, 0, 1, 1
0.0004437, 0, 0, 1
0.0004450, 0, 1, 1
0.0004463, 0, 0, 1
0.0004476, 0, 1, 1
0.0004489, 0, 0, 1
0.0004502, 0, 1, 1
0.0004503, 0, 1, 0
0.0004515, 0, 0, 0
0.0004529, 0, 1, 1
0.0004542, 0, 0, 1
0.0004555, 0, 1, 1
0.0004568, 0, 0, 1
0.0004581, 0, 1, 0
0.0004594, 0, 0, 0
0.0004607, 0, 1, 0
0.0004608, 0, 1, 1
0.0004621, 0, 0, 1
0.0004634, 0, 1, 0
0.0004647, 0, 0, 0
0.0004660, 1, 1, 0
0.0004673, 1, 0, 0
0.0004686, 1, 1, 0
0.0004687, 1, 1, 1
0.0004699, 1, 0, 1
0.0004713, 1, 1, 1
0.0004726, 1, 0, 1
0.0004739, 1, 1, 1
0.0004752, 1, 0, 1
0.0004765, 1, 1, 1
0.0004778, 1, 0, 1
0.0004791, 1, 1, 1
0.0004792, 1, 1, 0
0.0004804, 1, 0, 0
0.0004818, 1, 1, 1
0.0004831, 1, 0, 1
0.0004844, 1, 1, 0
0.0004857, 1, 0, 0
0.0004870, 1, 1, 0
0.0004883, 1, 0, 0
0.0004896, 1, 1, 0
0.0004910, 1, 0, 0
0.0004923, 1, 1, 1
0.0004936, 1, 0, 1
0.0004949, 1, 1, 0
0.0004962, 1, 0, 0
0.0004975, 1, 1, 0
0.0004988, 1, 0, 0
0.0005002, 1, 1, 1
0.0005015, 1, 0, 1
0.0005028, 1, 1, 0
0.0005041, 1, 0, 0
0.0005054, 1, 1, 0
0.0005067, 1, 0, 0
0.0005080, 1, 1, 0
0.0005081, 0, 1, 0
0.0005093, 0, 0, 0
0.0005107, 0, 1, 0
0.0005120, 0, 0, 0
0.0005133, 0, 1, 0
0.0005146, 0, 0, 0
