Time[s], 通道 0, 通道 1
0.8248431, 1, 0
0.8248439, 1, 1
0.8248449, 1, 0
0.8248451, 0, 0
0.8248465, 0, 1
0.8248475, 1, 1
0.8253941, 0, 1
0.8253950, 0, 0
0.8253966, 0, 1
0.8253976, 0, 0
0.8253992, 0, 1
0.8254002, 0, 0
0.8254018, 0, 1
0.8254028, 0, 0
0.8254045, 0, 1
0.8254055, 0, 0
0.8254071, 0, 1
0.8254081, 0, 0
0.8254083, 1, 0
0.8254097, 1, 1
0.8254107, 1, 0
0.8254109, 0, 0
0.8254123, 0, 1
0.8254133, 0, 0
0.8254150, 0, 1
0.8254160, 0, 0
0.8254233, 0, 1
0.8254243, 0, 0
0.8254245, 1, 0
0.8254251, 0, 0
0.8254308, 1, 0
0.8254316, 1, 1
0.8254326, 1, 0
0.8254328, 0, 0
0.8254342, 0, 1
0.8254352, 0, 0
0.8254368, 0, 1
0.8254378, 0, 0
0.8254395, 0, 1
0.8254405, 0, 0
0.8254421, 0, 1
0.8254431, 0, 0
0.8254447, 0, 1
0.8254457, 0, 0
0.8254459, 1, 0
0.8254474, 1, 1
0.8254483, 1, 0
0.8254485, 0, 0
0.8254500, 0, 1
0.8254510, 0, 0
0.8254512, 1, 0
0.8254594, 0, 0
0.8254596, 0, 1
0.8254606, 0, 0
0.8254607, 1, 0
0.8254614, 0, 0
0.8254675, 0, 1
0.8254685, 1, 1
0.8255036, 0, 1
0.8255045, 0, 0
0.8255061, 0, 1
0.8255071, 0, 0
0.8255087, 0, 1
0.8255097, 0, 0
0.8255114, 0, 1
0.8255123, 0, 0
0.8255140, 0, 1
0.8255150, 0, 0
0.8255166, 0, 1
0.8255176, 0, 0
0.8255178, 1, 0
0.8255192, 1, 1
0.8255202, 1, 0
0.8255204, 0, 0
0.8255219, 0, 1
0.8255228, 0, 0
0.8255230, 1, 0
0.8255245, 1, 1
0.8255255, 1, 0
0.8255256, 0, 0
0.8255397, 0, 1
0.8255406, 0, 0
0.8255473, 0, 1
0.8255483, 0, 0
0.8255484, 1, 0
0.8255499, 1, 1
0.8255509, 1, 0
0.8255510, 0, 0
0.8255525, 0, 1
0.8255535, 0, 0
0.8255552, 0, 1
0.8255561, 0, 0
0.8255578, 0, 1
0.8255588, 0, 0
0.8255604, 0, 1
0.8255614, 0, 0
0.8255615, 1, 0
0.8255630, 1, 1
0.8255640, 1, 0
0.8255657, 1, 1
0.8255666, 1, 0
0.8255675, 0, 0
0.8255763, 0, 1
0.8255773, 0, 0
0.8255789, 0, 1
0.8255799, 0, 0
0.8255815, 0, 1
0.8255825, 0, 0
0.8255842, 0, 1
0.8255851, 0, 0
0.8255868, 0, 1
0.8255878, 0, 0
0.8255894, 0, 1
0.8255904, 0, 0
0.8255920, 0, 1
0.8255930, 0, 0
0.8255932, 1, 0
0.8255947, 1, 1
0.8255956, 1, 0
0.8255973, 1, 1
0.8255983, 1, 0
0.8255991, 0, 0
0.8256086, 0, 1
0.8256096, 0, 0
0.8256182, 0, 1
0.8256192, 0, 0
0.8256209, 0, 1
0.8256218, 0, 0
0.8256235, 0, 1
0.8256245, 0, 0
0.8256261, 0, 1
0.8256271, 0, 0
0.8256287, 0, 1
0.8256297, 0, 0
0.8256314, 0, 1
0.8256323, 0, 0
0.8256340, 0, 1
0.8256350, 0, 0
0.8256366, 0, 1
0.8256376, 0, 0
0.8256377, 1, 0
0.8256384, 0, 0
0.8256495, 0, 1
0.8256505, 0, 0
0.8256591, 0, 1
0.8256600, 0, 0
0.8256617, 0, 1
0.8256626, 0, 0
0.8256643, 0, 1
0.8256653, 0, 0
0.8256669, 0, 1
0.8256679, 0, 0
0.8256695, 0, 1
0.8256705, 0, 0
0.8256722, 0, 1
0.8256731, 0, 0
0.8256748, 0, 1
0.8256758, 0, 0
0.8256774, 0, 1
0.8256784, 0, 0
0.8256785, 1, 0
0.8256792, 0, 0
0.8256905, 0, 1
0.8256915, 0, 0
0.8257001, 0, 1
0.8257011, 0, 0
0.8257027, 0, 1
0.8257037, 0, 0
0.8257038, 1, 0
0.8257054, 1, 1
0.8257063, 1, 0
0.8257064, 0, 0
0.8257080, 0, 1
0.8257090, 0, 0
0.8257091, 1, 0
0.8257106, 1, 1
0.8257116, 1, 0
0.8257117, 0, 0
0.8257132, 0, 1
0.8257142, 0, 0
0.8257143, 1, 0
0.8257159, 1, 1
0.8257168, 1, 0
0.8257169, 0, 0
0.8257185, 0, 1
0.8257195, 0, 0
0.8257196, 1, 0
0.8257203, 0, 0
0.8257315, 0, 1
0.8257325, 0, 0
0.8257412, 0, 1
0.8257422, 0, 0
0.8257423, 1, 0
0.8257438, 1, 1
0.8257448, 1, 0
0.8257449, 0, 0
0.8257464, 0, 1
0.8257474, 0, 0
0.8257475, 1, 0
0.8257490, 1, 1
0.8257500, 1, 0
0.8257517, 1, 1
0.8257527, 0, 0
0.8257543, 0, 1
0.8257553, 0, 0
0.8257569, 0, 1
0.8257579, 0, 0
0.8257595, 0, 1
0.8257605, 0, 0
0.8257606, 1, 0
0.8257613, 0, 0
0.8257712, 1, 0
0.8257720, 1, 1
0.8257730, 1, 0
0.8257738, 0, 0
0.8257746, 0, 1
0.8257756, 1, 1
0.8263256, 0, 1
0.8263264, 0, 0
0.8263281, 0, 1
0.8263290, 0, 0
0.8263307, 0, 1
0.8263317, 0, 0
0.8263333, 0, 1
0.8263343, 0, 0
0.8263359, 0, 1
0.8263369, 0, 0
0.8263386, 0, 1
0.8263395, 0, 0
0.8263397, 1, 0
0.8263412, 1, 1
0.8263422, 1, 0
0.8263423, 0, 0
0.8263438, 0, 1
0.8263448, 0, 0
0.8263464, 0, 1
0.8263474, 0, 0
0.8263548, 0, 1
0.8263558, 0, 0
0.8263559, 1, 0
0.8263566, 0, 0
0.8263622, 1, 0
0.8263631, 1, 1
0.8263640, 1, 0
0.8263642, 0, 0
0.8263657, 0, 1
0.8263667, 0, 0
0.8263683, 0, 1
0.8263693, 0, 0
0.8263709, 0, 1
0.8263719, 0, 0
0.8263736, 0, 1
0.8263745, 0, 0
0.8263762, 0, 1
0.8263772, 0, 0
0.8263774, 1, 0
0.8263788, 1, 1
0.8263798, 1, 0
0.8263800, 0, 0
0.8263814, 0, 1
0.8263824, 0, 0
0.8263826, 1, 0
0.8263909, 0, 0
0.8263911, 0, 1
0.8263920, 0, 0
0.8263921, 1, 0
0.8263929, 0, 0
0.8263990, 0, 1
0.8264000, 1, 1
0.8264349, 0, 1
