Time[s], 通道 0, 通道 1
2.0000000, 1, 1
2.0740312, 0, 1
2.0740321, 0, 0
2.0740337, 0, 1
2.0740347, 0, 0
2.0740363, 0, 1
2.0740373, 0, 0
2.0740390, 0, 1
2.0740399, 0, 0
2.0740416, 0, 1
2.0740426, 0, 0
2.0740442, 0, 1
2.0740452, 0, 0
2.0740454, 1, 0
2.0740468, 1, 1
2.0740478, 1, 0
2.0740480, 0, 0
2.0740495, 0, 1
2.0740504, 0, 0
2.0740521, 0, 1
2.0740531, 0, 0
2.0740604, 0, 1
2.0740614, 0, 0
2.0740615, 1, 0
2.0740622, 0, 0
2.0740678, 1, 0
2.0740686, 1, 1
2.0740696, 1, 0
2.0740698, 0, 0
2.0740713, 0, 1
2.0740722, 0, 0
2.0740725, 1, 0
2.0740739, 1, 1
2.0740749, 1, 0
2.0740751, 0, 0
2.0740765, 0, 1
2.0740775, 0, 0
2.0740791, 0, 1
2.0740801, 0, 0
2.0740818, 0, 1
2.0740827, 0, 0
2.0740830, 1, 0
2.0740844, 1, 1
2.0740854, 1, 0
2.0740856, 0, 0
2.0740870, 0, 1
2.0740880, 0, 0
2.0740882, 1, 0
2.0740965, 0, 0
2.0740966, 0, 1
2.0740976, 0, 0
2.0740977, 1, 0
2.0740984, 0, 0
2.0741048, 0, 1
2.0741058, 0, 0
2.0741075, 0, 1
2.0741084, 0, 0
2.0741101, 0, 1
2.0741111, 0, 0
2.0741127, 0, 1
2.0741137, 0, 0
2.0741153, 0, 1
2.0741163, 0, 0
2.0741180, 0, 1
2.0741189, 0, 0
2.0741206, 0, 1
2.0741216, 0, 0
2.0741232, 0, 1
2.0741242, 0, 0
2.0741328, 0, 1
2.0741337, 0, 0
2.0741339, 1, 0
2.0741346, 0, 0
2.0741410, 0, 1
2.0741420, 0, 0
2.0741436, 0, 1
2.0741446, 0, 0
2.0741463, 0, 1
2.0741472, 0, 0
2.0741475, 1, 0
2.0741489, 1, 1
2.0741499, 1, 0
2.0741501, 0, 0
2.0741515, 0, 1
2.0741525, 0, 0
2.0741527, 1, 0
2.0741541, 1, 1
2.0741551, 1, 0
2.0741568, 1, 1
2.0741578, 1, 0
2.0741579, 0, 0
2.0741594, 0, 1
2.0741604, 0, 0
2.0741690, 0, 1
2.0741699, 0, 0
2.0741700, 1, 0
2.0741708, 0, 0
2.0741772, 0, 1
2.0741782, 0, 0
2.0741798, 0, 1
2.0741808, 0, 0
2.0741825, 0, 1
2.0741834, 0, 0
2.0741851, 0, 1
2.0741861, 0, 0
2.0741877, 0, 1
2.0741887, 0, 0
2.0741903, 0, 1
2.0741913, 0, 0
2.0741915, 1, 0
2.0741930, 1, 1
2.0741939, 1, 0
2.0741941, 0, 0
2.0741956, 0, 1
2.0741966, 0, 0
2.0742052, 0, 1
2.0742061, 0, 0
2.0742062, 1, 0
2.0742069, 0, 0
2.0742131, 0, 1
2.0742141, 1, 1
2.1548622, 0, 1
2.1548630, 0, 0
2.1548647, 0, 1
2.1548657, 0, 0
2.1548673, 0, 1
2.1548683, 0, 0
2.1548699, 0, 1
2.1548709, 0, 0
2.1548725, 0, 1
2.1548735, 0, 0
2.1548752, 0, 1
2.1548762, 0, 0
2.1548764, 1, 0
2.1548778, 1, 1
2.1548788, 1, 0
2.1548790, 0, 0
2.1548804, 0, 1
2.1548814, 0, 0
2.1548816, 1, 0
2.1548830, 1, 1
2.1548840, 1, 0
2.1548841, 0, 0
2.1548982, 0, 1
2.1548992, 0, 0
2.1549059, 0, 1
2.1549068, 0, 0
2.1549070, 1, 0
2.1549085, 1, 1
2.1549095, 1, 0
2.1549096, 0, 0
2.1549111, 0, 1
2.1549121, 0, 0
2.1549137, 0, 1
2.1549147, 0, 0
2.1549164, 0, 1
2.1549173, 0, 0
2.1549190, 0, 1
2.1549200, 0, 0
2.1549201, 1, 0
2.1549216, 1, 1
2.1549226, 1, 0
2.1549242, 1, 1
2.1549252, 1, 0
2.1549260, 0, 0
2.1549349, 0, 1
2.1549358, 0, 0
2.1549375, 0, 1
2.1549385, 0, 0
2.1549401, 0, 1
2.1549411, 0, 0
2.1549427, 0, 1
2.1549437, 0, 0
2.1549454, 0, 1
2.1549463, 0, 0
2.1549480, 0, 1
2.1549490, 0, 0
2.1549506, 0, 1
2.1549516, 0, 0
2.1549517, 1, 0
2.1549532, 1, 1
2.1549542, 1, 0
2.1549559, 1, 1
2.1549568, 1, 0
2.1549577, 0, 0
2.1549672, 0, 1
2.1549682, 0, 0
2.1549768, 0, 1
2.1549778, 0, 0
2.1549794, 0, 1
2.1549804, 0, 0
2.1549820, 0, 1
2.1549830, 0, 0
2.1549847, 0, 1
2.1549857, 0, 0
2.1549873, 0, 1
2.1549883, 0, 0
2.1549899, 0, 1
2.1549909, 0, 0
2.1549925, 0, 1
2.1549935, 0, 0
2.1549952, 0, 1
2.1549962, 0, 0
2.1549963, 1, 0
2.1549970, 0, 0
2.1550080, 0, 1
2.1550090, 0, 0
2.1550177, 0, 1
2.1550187, 0, 0
2.1550203, 0, 1
2.1550213, 0, 0
2.1550229, 0, 1
2.1550239, 0, 0
2.1550256, 0, 1
2.1550265, 0, 0
2.1550282, 0, 1
2.1550292, 0, 0
2.1550308, 0, 1
2.1550318, 0, 0
2.1550334, 0, 1
2.1550344, 0, 0
2.1550360, 0, 1
2.1550370, 0, 0
2.1550371, 1, 0
2.1550378, 0, 0
2.1550491, 0, 1
2.1550501, 0, 0
2.1550587, 0, 1
2.1550597, 0, 0
2.1550614, 0, 1
2.1550623, 0, 0
2.1550640, 0, 1
2.1550650, 0, 0
2.1550651, 1, 0
2.1550666, 1, 1
2.1550676, 1, 0
2.1550677, 0, 0
2.1550692, 0, 1
2.1550702, 0, 0
2.1550703, 1, 0
2.1550719, 1, 1
2.1550728, 1, 0
2.1550745, 1, 1
2.1550755, 0, 0
2.1550771, 0, 1
2.1550781, 0, 0
2.1550782, 1, 0
2.1550789, 0, 0
2.1550902, 0, 1
2.1550912, 0, 0
2.1550998, 0, 1
2.1551008, 0, 0
2.1551024, 0, 1
2.1551034, 0, 0
2.1551051, 0, 1
2.1551060, 0, 0
2.1551077, 0, 1
2.1551087, 0, 0
2.1551103, 0, 1
2.1551113, 0, 0
2.1551129, 0, 1
2.1551139, 0, 0
2.1551140, 1, 0
2.1551156, 1, 1
2.1551165, 1, 0
2.1551166, 0, 0
2.1551182, 0, 1
2.1551192, 1, 0
2.1551200, 0, 0
2.1551298, 1, 0
2.1551306, 1, 1
2.1551316, 1, 0
2.1551318, 0, 0
2.1551332, 0, 1
2.1551342, 1, 1
2.1556790, 0, 1
2.1556799, 0, 0
2.1556815, 0, 1
2.1556825, 0, 0
2.1556841, 0, 1
2.1556851, 0, 0
2.1556868, 0, 1
2.1556877, 0, 0
2.1556894, 0, 1
2.1556904, 0, 0
2.1556920, 0, 1
2.1556930, 0, 0
2.1556932, 1, 0
2.1556946, 1, 1
2.1556956, 1, 0
2.1556958, 0, 0
2.1556973, 0, 1
2.1556982, 0, 0
2.1556999, 0, 1
2.1557009, 0, 0
2.1557083, 0, 1
2.1557092, 0, 0
2.1557093, 1, 0
2.1557100, 0, 0
2.1557157, 1, 0
2.1557165, 1, 1
2.1557175, 1, 0
2.1557177, 0, 0
2.1557191, 0, 1
2.1557201, 0, 0
2.1557218, 0, 1
2.1557227, 0, 0
2.1557244, 0, 1
2.1557254, 0, 0
2.1557270, 0, 1
2.1557280, 0, 0
2.1557296, 0, 1
2.1557306, 0, 0
2.1557308, 1, 0
2.1557323, 1, 1
2.1557332, 1, 0
2.1557334, 0, 0
2.1557349, 0, 1
2.1557359, 0, 0
