Time[s], 通道 0, 通道 1, 通道 2
0.0000000, 0, 0, 0
0.0000009, 0, 1, 1
0.0000022, 0, 0, 1
0.0000035, 0, 1, 0
0.0000048, 0, 0, 0
0.0000061, 0, 1, 1
0.0000074, 0, 0, 1
0.0000087, 0, 1, 1
0.0000088, 0, 1, 0
0.0000101, 0, 0, 0
0.0000114, 0, 1, 1
0.0000127, 0, 0, 1
0.0000140, 1, 1, 0
0.0000153, 1, 0, 0
0.0000166, 1, 1, 1
0.0000179, 1, 0, 1
0.0000192, 1, 1, 1
0.0000193, 1, 1, 0
0.0000206, 1, 0, 0
0.0000219, 1, 1, 1
0.0000232, 1, 0, 1
0.0000245, 1, 1, 0
0.0000258, 1, 0, 0
0.0000271, 1, 1, 0
0.0000272, 1, 1, 1
0.0000284, 1, 0, 1
0.0000298, 1, 1, 0
0.0000311, 1, 0, 0
0.0000324, 1, 1, 1
0.0000337, 1, 0, 1
0.0000350, 1, 1, 0
0.0000363, 1, 0, 0
0.0000376, 1, 1, 0
0.0000377, 1, 1, 1
0.0000390, 1, 0, 1
0.0000403, 1, 1, 0
0.0000416, 1, 0, 0
0.0000429, 1, 1, 1
0.0000442, 1, 0, 1
0.0000455, 1, 1, 0
0.0000468, 1, 0, 0
0.0000482, 1, 1, 1
0.0000495, 1, 0, 1
0.0000508, 1, 1, 0
0.0000521, 1, 0, 0
0.0000534, 1, 1, 1
0.0000547, 1, 0, 1
0.0000560, 1, 1, 1
0.0000561, 0, 1, 0
0.0000573, 0, 0, 0
0.0000587, 0, 1, 1
0.0000600, 0, 0, 1
0.0000613, 0, 1, 0
0.0000626, 0, 0, 0
0.0000639, 0, 1, 1
0.0000652, 0, 0, 1
0.0000665, 0, 1, 1
0.0000666, 0, 1, 0
0.0000679, 0, 0, 0
0.0000692, 0, 1, 1
0.0000705, 0, 0, 1
0.0000718, 0, 1, 0
0.0000731, 0, 0, 0
0.0000744, 0, 1, 1
0.0000757, 0, 0, 1
0.0000771, 0, 1, 0
0.0000784, 0, 0, 0
0.0000797, 0, 1, 1
0.0000810, 0, 0, 1
0.0000823, 0, 1, 0
0.0000836, 0, 0, 0
0.0000849, 0, 1, 0
0.0000850, 0, 1, 1
0.0000862, 0, 0, 1
0.0000876, 0, 1, 0
0.0000889, 0, 0, 0
0.0000902, 0, 1, 1
0.0000915, 0, 0, 1
0.0000928, 0, 1, 0
0.0000941, 0, 0, 0
0.0000954, 0, 1, 0
0.0000955, 0, 1, 1
0.0000968, 0, 0, 1
0.0000981, 1, 1, 0
0.0000994, 1, 0, 0
0.0001007, 1, 1, 1
0.0001020, 1, 0, 1
0.0001033, 1, 1, 0
0.0001046, 1, 0, 0
0.0001060, 1, 1, 1
0.0001073, 1, 0, 1
0.0001086, 1, 1, 0
0.0001099, 1, 0, 0
0.0001112, 1, 1, 1
0.0001125, 1, 0, 1
0.0001138, 1, 1, 1
0.0001139, 1, 1, 0
0.0001152, 1, 0, 0
0.0001165, 1, 1, 1
0.0001178, 1, 0, 1
0.0001191, 1, 1, 0
0.0001204, 1, 0, 0
0.0001217, 1, 1, 1
0.0001230, 1, 0, 1
0.0001243, 1, 1, 1
0.0001244, 1, 1, 0
0.0001257, 1, 0, 0
0.0001270, 1, 1, 1
0.0001283, 1, 0, 1
0.0001296, 1, 1, 0
0.0001309, 1, 0, 0
0.0001322, 1, 1, 0
0.0001323, 1, 1, 1
0.0001335, 1, 0, 1
0.0001349, 1, 1, 0
0.0001362, 1, 0, 0
0.0001375, 1, 1, 1
0.0001388, 1, 0, 1
0.0001401, 0, 1, 0
0.0001414, 0, 0, 0
0.0001427, 0, 1, 0
0.0001428, 0, 1, 1
0.0001440, 0, 0, 1
0.0001454, 0, 1, 0
0.0001467, 0, 0, 0
0.0001480, 0, 1, 1
0.0001493, 0, 0, 1
0.0001506, 0, 1, 0
0.0001519, 0, 0, 0
0.0001532, 0, 1, 0
0.0001533, 0, 1, 1
0.0001546, 0, 0, 1
0.0001559, 0, 1, 0
0.0001572, 0, 0, 0
0.0001585, 0, 1, 1
0.0001598, 0, 0, 1
0.0001611, 0, 1, 1
0.0001612, 0, 1, 0
0.0001624, 0, 0, 0
0.0001638, 0, 1, 1
0.0001651, 0, 0, 1
0.0001664, 0, 1, 0
0.0001677, 0, 0, 0
0.0001690, 0, 1, 1
0.0001703, 0, 0, 1
0.0001716, 0, 1, 1
0.0001717, 0, 1, 0
0.0001729, 0, 0, 0
0.0001743, 0, 1, 1
0.0001756, 0, 0, 1
0.0001769, 0, 1, 0
0.0001782, 0, 0, 0
0.0001795, 0, 1, 1
0.0001808, 0, 0, 1
0.0001821, 0, 1, 1
0.0001822, 1, 1, 0
0.0001835, 1, 0, 0
0.0001848, 1, 1, 1
0.0001861, 1, 0, 1
0.0001874, 1, 1, 0
0.0001887, 1, 0, 0
0.0001900, 1, 1, 1
0.0001913, 1, 0, 1
0.0001927, 1, 1, 0
0.0001940, 1, 0, 0
0.0001953, 1, 1, 1
0.0001966, 1, 0, 1
0.0001979, 1, 1, 0
0.0001992, 1, 0, 0
0.0002005, 1, 1, 0
0.0002006, 1, 1, 1
0.0002018, 1, 0, 1
0.0002032, 1, 1, 0
0.0002045, 1, 0, 0
0.0002058, 1, 1, 1
0.0002071, 1, 0, 1
0.0002084, 1, 1, 0
0.0002097, 1, 0, 0
0.0002110, 1, 1, 0
0.0002111, 1, 1, 1
0.0002124, 1, 0, 1
0.0002137, 1, 1, 0
0.0002150, 1, 0, 0
0.0002163, 1, 1, 1
0.0002176, 1, 0, 1
0.0002189, 1, 1, 0
0.0002202, 1, 0, 0
0.0002216, 1, 1, 1
0.0002229, 1, 0, 1
0.0002242, 0, 1, 0
0.0002255, 0, 0, 0
0.0002268, 0, 1, 1
0.0002281, 0, 0, 1
0.0002294, 0, 1, 1
0.0002295, 0, 1, 0
0.0002307, 0, 0, 0
0.0002321, 0, 1, 1
0.0002334, 0, 0, 1
0.0002347, 0, 1, 0
0.0002360, 0, 0, 0
0.0002373, 0, 1, 1
0.0002386, 0, 0, 1
0.0002399, 0, 1, 1
0.0002400, 0, 1, 0
0.0002413, 0, 0, 0
0.0002426, 0, 1, 1
0.0002439, 0, 0, 1
0.0002452, 0, 1, 0
0.0002465, 0, 0, 0
0.0002478, 0, 1, 1
0.0002491, 0, 0, 1
0.0002505, 0, 1, 0
0.0002518, 0, 0, 0
0.0002531, 0, 1, 1
0.0002544, 0, 0, 1
0.0002557, 0, 1, 0
0.0002570, 0, 0, 0
0.0002583, 0, 1, 0
0.0002584, 0, 1, 1
0.0002596, 0, 0, 1
0.0002610, 0, 1, 0
0.0002623, 0, 0, 0
0.0002636, 0, 1, 1
0.0002649, 0, 0, 1
0.0002662, 1, 1, 0
0.0002675, 1, 0, 0
0.0002688, 1, 1, 0
0.0002689, 1, 1, 1
0.0002702, 1, 0, 1
0.0002715, 1, 1, 0
0.0002728, 1, 0, 0
0.0002741, 1, 1, 1
0.0002754, 1, 0, 1
0.0002767, 1, 1, 0
0.0002780, 1, 0, 0
0.0002794, 1, 1, 1
0.0002807, 1, 0, 1
0.0002820, 1, 1, 0
0.0002833, 1, 0, 0
0.0002846, 1, 1, 1
0.0002859, 1, 0, 1
0.0002872, 1, 1, 1
0.0002873, 1, 1, 0
0.0002885, 1, 0, 0
0.0002899, 1, 1, 1
0.0002912, 1, 0, 1
0.0002925, 1, 1, 0
0.0002938, 1, 0, 0
0.0002951, 1, 1, 1
0.0002964, 1, 0, 1
0.0002977, 1, 1, 1
0.0002978, 1, 1, 0
0.0002991, 1, 0, 0
0.0003004, 1, 1, 1
0.0003017, 1, 0, 1
0.0003030, 1, 1, 0
0.0003043, 1, 0, 0
0.0003056, 1, 1, 1
0.0003069, 1, 0, 1
0.0003082, 1, 1, 1
0.0003083, 0, 1, 0
0.0003096, 0, 0, 0
0.0003109, 0, 1, 1
0.0003122, 0, 0, 1
0.0003135, 0, 1, 0
0.0003148, 0, 0, 0
0.0003161, 0, 1, 0
0.0003162, 0, 1, 1
0.0003174, 0, 0, 1
0.0003188, 0, 1, 0
0.0003201, 0, 0, 0
0.0003214, 0, 1, 1
0.0003227, 0, 0, 1
0.0003240, 0, 1, 0
0.0003253, 0, 0, 0
0.0003266, 0, 1, 0
0.0003267, 0, 1, 1
0.0003280, 0, 0, 1
0.0003293, 0, 1, 0
0.0003306, 0, 0, 0
0.0003319, 0, 1, 1
0.0003332, 0, 0, 1
0.0003345, 0, 1, 0
0.0003358, 0, 0, 0
0.0003372, 0, 1, 1
0.0003385, 0, 0, 1
0.0003398, 0, 1, 0
0.0003411, 0, 0, 0
0.0003424, 0, 1, 1
0.0003437, 0, 0, 1
0.0003450, 0, 1, 1
0.0003451, 0, 1, 0
0.0003463, 0, 0, 0
0.0003477, 0, 1, 1
0.0003490, 0, 0, 1
0.0003503, 1, 1, 0
0.0003516, 1, 0, 0
0.0003529, 1, 1, 1
0.0003542, 1, 0, 1
0.0003555, 1, 1, 1
0.0003556, 1, 1, 0
0.0003569, 1, 0, 0
0.0003582, 1, 1, 1
0.0003595, 1, 0, 1
0.0003608, 1, 1, 0
0.0003621, 1, 0, 0
0.0003634, 1, 1, 1
0.0003647, 1, 0, 1
0.0003661, 1, 1, 0
0.0003674, 1, 0, 0
0.0003687, 1, 1, 1
0.0003700, 1, 0, 1
0.0003713, 1, 1, 0
0.0003726, 1, 0, 0
0.0003739, 1, 1, 0
0.0003740, 1, 1, 1
0.0003752, 1, 0, 1
0.0003766, 1, 1, 0
0.0003779, 1, 0, 0
0.0003792, 1, 1, 1
0.0003805, 1, 0, 1
0.0003818, 1, 1, 0
0.0003831, 1, 0, 0
0.0003844, 1, 1, 0
0.0003845, 1, 1, 1
0.0003858, 1, 0, 1
0.0003871, 1, 1, 0
0.0003884, 1, 0, 0
0.0003897, 1, 1, 1
0.0003910, 1, 0, 1
0.0003923, 1, 1, 0
0.0003924, 0, 1, 0
0.0003936, 0, 0, 0
0.0003950, 0, 1, 1
0.0003963, 0, 0, 1
0.0003976, 0, 1, 0
0.0003989, 0, 0, 0
0.0004002, 0, 1, 1
0.0004015, 0, 0, 1
0.0004028, 0, 1, 1
0.0004029, 0, 1, 0
0.0004041, 0, 0, 0
0.0004055, 0, 1, 1
0.0004068, 0, 0, 1
0.0004081, 0, 1, 0
0.0004094, 0, 0, 0
0.0004107, 0, 1, 1
0.0004120, 0, 0, 1
0.0004133, 0, 1, 1
0.0004134, 0, 1, 0
0.0004147, 0, 0, 0
0.0004160, 0, 1, 1
0.0004173, 0, 0, 1
0.0004186, 0, 1, 0
0.0004199, 0, 0, 0
0.0004212, 0, 1, 0
0.0004213, 0, 1, 1
0.0004225, 0, 0, 1
0.0004239, 0, 1, 0
0.0004252, 0, 0, 0
0.0004265, 0, 1, 1
0.0004278, 0, 0, 1
0.0004291, 0, 1, 0
0.0004304, 0, 0, 0
0.0004317, 0, 1, 0
0.0004318, 0, 1, 1
0.0004331, 0, 0, 1
0.0004344, 1, 1, 0
0.0004357, 1, 0, 0
0.0004370, 1, 1, 1
0.0004383, 1, 0, 1
0.0004396, 1, 1, 0
0.0004409, 1, 0, 0
0.0004422, 1, 1, 0
0.0004423, 1, 1, 1
0.0004436, 1, 0, 1
0.0004449, 1, 1, 0
0.0004462, 1, 0, 0
0.0004475, 1, 1, 1
0.0004488, 1, 0, 1
0.0004501, 1, 1, 1
0.0004502, 1, 1, 0
0.0004514, 1, 0, 0
0.0004528, 1, 1, 1
0.0004541, 1, 0, 1
0.0004554, 1, 1, 0
0.0004567, 1, 0, 0
0.0004580, 1, 1, 1
0.0004593, 1, 0, 1
0.0004606, 1, 1, 1
0.0004607, 1, 1, 0
0.0004620, 1, 0, 0
0.0004633, 1, 1, 1
0.0004646, 1, 0, 1
0.0004659, 1, 1, 0
0.0004672, 1, 0, 0
0.0004685, 1, 1, 1
0.0004698, 1, 0, 1
