Time[s], 通道 0, 通道 1
4.0000000, 1, 1
4.2457633, 0, 1
4.2457641, 0, 0
4.2457657, 0, 1
4.2457667, 0, 0
4.2457684, 0, 1
4.2457693, 0, 0
4.2457710, 0, 1
4.2457720, 0, 0
4.2457736, 0, 1
4.2457746, 0, 0
4.2457762, 0, 1
4.2457772, 0, 0
4.2457774, 1, 0
4.2457789, 1, 1
4.2457798, 1, 0
4.2457800, 0, 0
4.2457815, 0, 1
4.2457825, 0, 0
4.2457841, 0, 1
4.2457851, 0, 0
4.2457925, 0, 1
4.2457934, 0, 0
4.2457935, 1, 0
4.2457942, 0, 0
4.2457999, 1, 0
4.2458007, 1, 1
4.2458017, 1, 0
4.2458018, 0, 0
4.2458033, 0, 1
4.2458043, 0, 0
4.2458045, 1, 0
4.2458059, 1, 1
4.2458069, 1, 0
4.2458071, 0, 0
4.2458086, 0, 1
4.2458095, 0, 0
4.2458112, 0, 1
4.2458122, 0, 0
4.2458138, 0, 1
4.2458148, 0, 0
4.2458150, 1, 0
4.2458164, 1, 1
4.2458174, 1, 0
4.2458176, 0, 0
4.2458191, 0, 1
4.2458200, 0, 0
4.2458202, 1, 0
4.2458285, 0, 0
4.2458287, 0, 1
4.2458296, 0, 0
4.2458297, 1, 0
4.2458304, 0, 0
4.2458369, 0, 1
4.2458378, 0, 0
4.2458395, 0, 1
4.2458405, 0, 0
4.2458421, 0, 1
4.2458431, 0, 0
4.2458447, 0, 1
4.2458457, 0, 0
4.2458474, 0, 1
4.2458483, 0, 0
4.2458500, 0, 1
4.2458510, 0, 0
4.2458526, 0, 1
4.2458536, 0, 0
4.2458552, 0, 1
4.2458562, 0, 0
4.2458648, 0, 1
4.2458658, 0, 0
4.2458659, 1, 0
4.2458666, 0, 0
4.2458731, 0, 1
4.2458740, 0, 0
4.2458757, 0, 1
4.2458767, 0, 0
4.2458783, 0, 1
4.2458793, 0, 0
4.2458795, 1, 0
4.2458809, 1, 1
4.2458819, 1, 0
4.2458821, 0, 0
4.2458836, 0, 1
4.2458845, 0, 0
4.2458847, 1, 0
4.2458862, 1, 1
4.2458872, 1, 0
4.2458888, 1, 1
4.2458898, 1, 0
4.2458900, 0, 0
4.2458914, 0, 1
4.2458924, 0, 0
4.2459011, 0, 1
4.2459020, 0, 0
4.2459021, 1, 0
4.2459029, 0, 0
4.2459093, 0, 1
4.2459103, 0, 0
4.2459119, 0, 1
4.2459129, 0, 0
4.2459146, 0, 1
4.2459155, 0, 0
4.2459172, 0, 1
4.2459182, 0, 0
4.2459198, 0, 1
4.2459208, 0, 0
4.2459224, 0, 1
4.2459234, 0, 0
4.2459251, 0, 1
4.2459260, 0, 0
4.2459262, 1, 0
4.2459277, 1, 1
4.2459287, 1, 0
4.2459288, 0, 0
4.2459375, 0, 1
4.2459384, 0, 0
4.2459385, 1, 0
4.2459392, 0, 0
4.2459454, 0, 1
4.2459464, 1, 1
4.3271898, 0, 1
4.3271906, 0, 0
4.3271922, 0, 1
4.3271932, 0, 0
4.3271948, 0, 1
4.3271958, 0, 0
4.3271975, 0, 1
4.3271985, 0, 0
4.3272001, 0, 1
4.3272011, 0, 0
4.3272027, 0, 1
4.3272037, 0, 0
4.3272039, 1, 0
4.3272053, 1, 1
4.3272063, 1, 0
4.3272065, 0, 0
4.3272080, 0, 1
4.3272090, 0, 0
4.3272092, 1, 0
4.3272106, 1, 1
4.3272116, 1, 0
4.3272117, 0, 0
4.3272258, 0, 1
4.3272268, 0, 0
4.3272334, 0, 1
4.3272344, 0, 0
4.3272345, 1, 0
4.3272360, 1, 1
4.3272370, 1, 0
4.3272371, 0, 0
4.3272387, 0, 1
4.3272396, 0, 0
4.3272413, 0, 1
4.3272423, 0, 0
4.3272439, 0, 1
4.3272449, 0, 0
4.3272465, 0, 1
4.3272475, 0, 0
4.3272476, 1, 0
4.3272492, 1, 1
4.3272501, 1, 0
4.3272518, 1, 1
4.3272528, 1, 0
4.3272536, 0, 0
4.3272624, 0, 1
4.3272634, 0, 0
4.3272650, 0, 1
4.3272660, 0, 0
4.3272677, 0, 1
4.3272686, 0, 0
4.3272703, 0, 1
4.3272713, 0, 0
4.3272729, 0, 1
4.3272739, 0, 0
4.3272755, 0, 1
4.3272765, 0, 0
4.3272782, 0, 1
4.3272791, 0, 0
4.3272793, 1, 0
4.3272808, 1, 1
4.3272818, 1, 0
4.3272834, 1, 1
4.3272844, 1, 0
4.3272852, 0, 0
4.3272947, 0, 1
4.3272957, 0, 0
4.3273044, 0, 1
4.3273053, 0, 0
4.3273070, 0, 1
4.3273080, 0, 0
4.3273096, 0, 1
4.3273106, 0, 0
4.3273122, 0, 1
4.3273132, 0, 0
4.3273148, 0, 1
4.3273158, 0, 0
4.3273175, 0, 1
4.3273185, 0, 0
4.3273201, 0, 1
