Time[s],Packet ID,Address,Read/Write,Data
1.5857124000,38,0x05,R,0x46 0x00 0x00
1.5859534000,39,0x04,W,0x82
1.6287746000,40,0x04,W,0xA7 0x01 0x00 0x32 0x01 0x38
1.6361774000,41,0x05,R,0x46 0x32 0x01 0x0B 0xB8 0x22 0x9F 0xFD 0x02 0xA0 0x00 0x00 0x34 0x40 0x0D 0x49 0xA8 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x37 0x80 0x00 0x00
1.6499284000,42,0x04,W,0x82
1.7037114000,43,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x08 0x01
1.7068286000,44,0x05,R,0x46 0x00 0x00
1.7070698000,45,0x04,W,0x82
1.7536934000,46,0x04,W,0xA7 0x01 0x00 0x06 0x00 0x38
1.7572942000,47,0x05,R,0x46 0x06 0x00 0x00 0x00 0x0E 0x03 0x7C 0xEF
1.7578028000,48,0x04,W,0x82
1.8037158000,49,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x09 0x01
1.8077578000,50,0x05,R,0x46 0x00 0x00
1.8079990000,51,0x04,W,0x82
1.8536924000,52,0x04,W,0xA7 0x01 0x00 0xAE 0x00 0x38
